problem_id,title,field,short_description,notability,tags,attribution,solved,solved_by_human
apery-irrationality,Apéry-Style Irrationality Proofs via Linear Recurrences,Number theory,,Breakthrough,Construction - Finite,,False,False
arithmetic-kakeya,The Arithmetic Kakeya Conjecture,Number theory,,Solid result,Construction - Finite; Improved Bound,,False,False
baillie-psw,A Baillie–PSW Pseudoprime,Number theory,,Moderately interesting,Counterexample; Integer Solution,,False,False
chowla-cosine,Chowla's Cosine Problem,Analysis,,Moderately interesting,Construction - Finite; Improved Bound,,False,False
class-group-rank,Large $\ell$-Rank in Class Groups of Imaginary Quadratic Fields,Algebraic number theory,,Moderately interesting,Record Breaking,,False,False
committee-election,The Core in Approval-Based Committee Elections,Social choice,,Major advance,Construction - Finite; Counterexample,,False,False
condorcet-winning-sets,Condorcet Winning Sets,Social choice,,Solid result,Construction - Finite; Counterexample,,False,False
conway-99-graph,Conway's 99-Graph Problem,Graph theory,,Solid result,Construction - Finite,,False,False
degree-sensitivity-boolean,Sensitivity versus Degree for Boolean Multilinear Polynomials,Combinatorics,,Solid result,Construction - Finite; Improved Bound,,False,False
diophantine-septuple,A Rational Diophantine Septuple,Diophantine,,Moderately interesting,Integer Solution,,False,False
earth-moon,The Earth–Moon Problem,Graph theory,,Moderately interesting,Construction - Finite; Improved Bound,,False,False
efx,Existence of EFX Allocations,Social choice,,Moderately interesting,Construction - Finite; Counterexample,,False,False
elliptic-curve-discrete-logarithm,The Elliptic-Curve Discrete Logarithm Problem (ECDLP),Number theory,,Major advance,Algorithm,,False,False
elliptic-curve-point-count,Elliptic Curves with Prescribed Number of Points,Arithmetic geometry,,Solid result,Algorithm,,False,False
elliptic-curve-rank,Elliptic Curves over $\mathbb{Q}$ of Large Rank,Arithmetic geometry,,Moderately interesting,Construction - Finite; Record Breaking,,True,False
euler-sum-of-powers,Euler's Sum of Powers Conjecture,Diophantine,,Moderately interesting,Counterexample; Integer Solution,,False,False
genus-2-jacobian-torsion,A Genus 2 Curve over the Rationals with a Rational Torsion Point of Prime Order at Least 31,Arithmetic geometry,,Moderately interesting,Construction - Finite; Record Breaking,,True,False
genus-2-rational-points,Many Rational Points on a Genus-2 Curve,Diophantine,,Moderately interesting,Construction - Finite; Record Breaking,,False,False
hadamard,Hadamard Matrix of Order 668,Combinatorics,,Moderately interesting,Construction - Finite; Record Breaking,,True,False
hall-conjecture,Hall's Conjecture,Diophantine,,Moderately interesting,Counterexample; Record Breaking,,False,False
heesch-number,A shape with Heesch number 7,Topology/Geometry,,Solid result,Construction - Finite; Record Breaking,,False,False
hirsch-conjecture,The Hirsch Conjecture in Dimension 4,Discrete geometry,,Solid result,Construction - Finite; Improved Bound,,False,False
inverse-galois,The Inverse Galois Problem for the Mathieu Group $M_{23}$,Number theory,,Solid result,Construction - Finite,,False,True
jones-unknot,The Jones Unknot Conjecture,Knot theory,,Major advance,Construction - Finite; Counterexample,,False,False
large-mahler-measure,Littlewood Polynomials with Large Normalized Mahler Measure,Analysis,,Moderately interesting,Construction - Finite; Improved Bound,,False,False
large-steiner-systems,Large Steiner Systems,Combinatorics,,Solid result,Construction - Finite; Record Breaking,,False,False
leech-trees,Leech Trees,Combinatorics,,Moderately interesting,Construction - Finite; Record Breaking,,False,False
lonely-runner,The Lonely Runner Conjecture,Diophantine,,Major advance,Counterexample,,False,False
matrix-multiplication,The Rank of the $4\times4$ Matrix-Multiplication Tensor,Combinatorics,,Moderately interesting,Algorithm; Record Breaking,,False,False
missing-moore-graph,The Missing Moore Graph,Graph theory,,Solid result,Construction - Finite,,False,False
no-three-in-line,The No-Three-in-Line Problem,Discrete geometry,,Moderately interesting,Construction - Family; Improved Bound,,False,False
numerical-semigroups,A counterexample to Wilf's Conjecture,Number theory,,Solid result,Construction - Finite; Counterexample,,False,False
polya-laplacian-spectrum,Pólya's Conjecture for the Dirichlet Laplacian,Spectral geometry,,Major advance,Construction - Finite; Counterexample,,False,False
polynomial-minimal-surface,Polynomial Entire Minimal Graphs,Analysis,,Solid result,Construction - Finite,,False,False
polynomial-square-few-coefficients,Dense Polynomials Whose Squares Are Sparse,Number theory,,Solid result,Construction - Finite,,False,False
prime-factorization,Improve the Best-known Classical Factorization Algorithms,Number theory,,Breakthrough,Algorithm,,False,False
prime-generating-polynomials,Prime-Generating Polynomial Systems in Five Variables,Number theory,,Moderately interesting,Construction - Finite; Improved Bound,,False,False
q2-absolute-galois,A Presentation of the Absolute Galois Group of $\mathbb{Q}_2$,Number theory,,Solid result,Construction - Finite,,True,False
quadratic-field-class-number,Class Group Algorithms,Algebraic number theory,,Solid result,Construction - Family,,False,False
ramsey-66,"The Ramsey Number $R(6,6)$",Graph theory,,Moderately interesting,Construction - Finite; Improved Bound,,False,False
ramsey-book-graphs,Book Ramsey Numbers,Graph theory,,Moderately interesting,Construction - Family,,False,False
slice-ribbon,The Slice–Ribbon Conjecture and the GST Knot,Knot theory,,Solid result,Construction - Finite; Counterexample,,False,False
small-diophantine,Large Integer Solutions to a Cubic Diophantine Equation,Diophantine,,Moderately interesting,Integer Solution,,False,False
smooth-poincare-4d,The Smooth Four-Dimensional Poincaré Conjecture,Topology/Geometry,,Breakthrough,Construction - Finite; Counterexample,,False,False
square-class-groups,A Prescribed Class-Group Structure for an Imaginary Quadratic Field,Algebraic number theory,,Solid result,Construction - Finite,,False,False
stretched-lr-coefficients,A Negative Coefficient in a Stretched Littlewood–Richardson Polynomial,Combinatorics,,Solid result,Construction - Finite; Counterexample,,False,False
sum-of-three-cubes,Sum of Three Cubes,Diophantine,,Moderately interesting,Integer Solution; Record Breaking,,False,False
superpermutations,"Short Superpermutations over 8, 9, and 10",Combinatorics,,Moderately interesting,Construction - Family; Improved Bound,,True,False
symplectic-ball-packing,Symplectic Ball Packing,Topology/Geometry,,Major advance,Construction - Family,,False,False
thrackles,Conway's Thrackle Conjecture,Graph theory,,Solid result,Construction - Finite,,False,False
