problem_id,prompt_type,prompt
apery-irrationality,full_problem,"The goal of this problem is to prove the irrationality of a particular real number in a specific way.

Let k be an integer with 1 ≤ k ≤ 25, and let P_0(x), ..., P_k(x) be polynomials with integer coefficients, each of degree at most 25, where P_k(n) ≠ 0 for n ≥ k. Let α = (α_0, ..., α_{k-1}) and β = (β_0, ..., β_{k-1}) be tuples of integers.

Let (a_n) and (b_n) denote the sequences defined by the recurrence P_k(n)*u_n = P_{k-1}(n)*u_{n-1} + ... + P_0(n)*u_{n-k} for n ≥ k, when initialized with α and β respectively.

Let L_n denote lcm(1,2,...,n) and let B_n = (L_n)^m*b_n, where m is a fixed positive integer.

Let X be a real number. It is known that if the following hold, then X is irrational.

1. a_n is an integer for all n ≥ 0.

2. B_n is an integer for all n ≥ 0.

3. X ≠ b_n / a_n for all n ≥ 0.

4. |b_n - a_n*X| ≤ C*ρ^n*e^{-mn} for all n ≥ 0, where C and ρ are positive real numbers and ρ < 1.

Your task is to find P_i, α, β, and m that establish the irrationality of ___ in this way.

Your answer is verified numerically, as follows. Conditions 1-4 are checked for all 0 ≤ n < 650, with condition 4 checked using the fixed values C = 100 and ρ = 0.95. An answer that satisfies condition 4 only with a larger C or ρ is rejected; in particular, note that scaling α and β by a common factor scales C by that factor. In addition, every integer in the submission — each polynomial coefficient and each entry of α and β — may have at most 100 decimal digits. Conditions 1 and 2 are checked exactly, but condition 4 is checked in floating point against a value of X carrying 6000 decimal digits. This bounds how sharply the linear form may converge: if |b_n - a_n*X| falls below (|a_n| + |b_n|)*10^-5990 at some tested n, the computed value cannot be distinguished from zero and the answer is rejected. For a typical certificate, where |b_n - a_n*X| is of order 1/a_n, this accommodates m up to about 10. m > 21 is rejected immediately, since no certificate with this m could be checked given this precision."
arithmetic-kakeya,full_problem,"\section{Introduction}

A Kakeya set in $\mathbb{R}^d$ is a bounded set which contains a unit line segment in every direction. While such sets can have measure zero, the Kakeya conjecture posits that they always have the maximal possible (Minkowski and Hausdorff) dimension $d$. The arithmetic Kakeya conjecture was implicitly formulated by Katz and Tao, as a statement strong enough to imply (a form of) the Kakeya conjecture, but which can be formulated as a purely additive combinatorics statement.

One way to state the arithmetic Kakeya problem is the following: we say that $\mathrm{AK}(\alpha)$ holds if for any $\epsilon>0$ there exists a finite set $X\subset \mathbb{Z}^2$ such that $r_1+r_2\neq 0$ for all $\mathbf{x}\in X$, and for all finite $G\subset \mathbb{Z}^2$,
\[\lvert(1,-1)\cdot G\rvert\ll_\epsilon \max_{\mathbf{x}\in X} \lvert\mathbf{x}\cdot G\rvert^{\alpha+\epsilon},\]
where we write
\[\mathbf{x}\cdot G = \{ x_1g_1+x_2g_2 : (g_1,g_2)\in G\}.\]
Note that we are not interested in the size or nature of $X$ itself -- for the applications to the Kakeya conjecture itself, all that matters is the exponent $\alpha$.

It is trivial that $\mathrm{AK}(2)$ holds (for example by taking $X$ to be any two linearly independent vectors in $\mathbb{Z}^2$, as then $(1,-1)$ can be expressed as a linear combination of these two). The arithmetic Kakeya conjecture itself is the following.
\begin{conjecture}[Arithmetic Kakeya conjecture]
$\mathrm{AK}(1)$ holds.
\end{conjecture}

The relation to the Kakeya problem is the following.
\begin{theorem}
If $\mathrm{AK}(\alpha)$ holds then, for all $d\geq 2$, if $E\subseteq \mathbb{R}^d$ is a Kakeya set (a bounded set containing a unit line segment in every direction) then the Hausdorff dimension of $E$ is at least
\[\alpha^{-1}d+1-\alpha^{-1}.\]
\end{theorem}
This was implicitly established by Bourgain using the `method of slices', although Bourgain only established this for the Minkowski dimension. The stronger statement that this same bound holds for the Hausdorff dimension is a consequence of combining Bourgain's argument  with recent progress on Szemer\'{e}di's theorem by Leng, Sah, and Sawhney.

\section{Intuitive Set-up}
We will first explicitly define the kind of structure that is required, and what the `score' of such a structure (i.e. what value of $\alpha$ a structure would prove $\mathrm{AK}(\alpha)$ for). In this section we have presented things to be intuitive for the reader; an equivalent, but more opaque, version which is more suitable for verification is given in the second problem statement.

We first define a collection of constructible configurations iteratively.
\begin{definition}
Let $X\subset \mathbb{Z}^2$. An $X$-constructible graph is a (simple undirected) finite graph, in which each edge is labelled with some $\mathbf{v}\in \mathbb{Z}^2$, defined in the following iterative fashion.
\begin{enumerate}
\item A single vertex is constructible.
\item If $H$ is constructible then, for any integer $k\geq 1$, if $X_1,\ldots,X_k$ are sets of vertices of $H$, then the following graph is constructible: take $k+1$ disjoint copies of $H$ and then, for each $1\leq i\leq k$ and $x\in X_i$, either identify the vertices corresponding to $x$ in both $H_{i-1}$ and $H_i$, or put an edge between them labelled with some $\mathbf{v}\in X$.
\end{enumerate}
\end{definition}

We write $\mathbf{x}g$ for the matrix which is zero everywhere except in the column corresponding to $g$, in which it is the column vector $\mathbf{x}\in \mathbb{Z}^2$.

\begin{definition}
Let $G$ be a finite graph with vertex set $V$, such that each edge is labelled with some $\mathbf{x}\in \mathbb{Z}^2$. An $X$-\emph{forcing pair} for $G$ is a pair of sets $(R,T)$ with $T\subseteq V$ and $R$ a finite collection $2\times \left\lvert V\right\rvert$ integer matrices, with columns indexed by $g\in V$, such that
\[R\subseteq \{ \mathbf{x}g: \mathbf{x}\in X\textrm{ and }g\in V\}\]
such that a finite sequence of the following operations on $(R,T)$ eventually produces $T=V$:
\begin{enumerate}
\item If $g_1\sim g_2$ is an edge of $G$ labelled $\mathbf{v}$ then add $\mathbf{v}g_1-\mathbf{v}g_2$ to $R$.
\item If $(1,-1)g\in R$ then add $g$ to $T$.
\item Any $\mathbb{Z}$-linear combination of matrices in $R$ can be added to $R$.
\end{enumerate}

\end{definition}

\begin{definition}
Let $X\subset \mathbb{Z}^2\backslash \langle (1,-1)\rangle$ be a finite set. A constructible proof of
\[\alpha(X)\leq \frac{m+r}{n-t}\]
is an $X$-constructible graph $G$ with vertex set $V$, with $n$ vertices and $m$ edges, for which there is a forcing pair $(R,T)$ with $\left\lvert R\right\rvert=r$ and $\left\lvert T\right\rvert=t$, where $T\subseteq V$ and
\[R\subseteq \{ \mathbf{x}g : \mathbf{x}\in X\textrm{ and }g\in V\}.\]
\end{definition}

\section{Verifiable Set-up}

In this reformulation we write $d_1\times\cdots \times d_k$ for the set of lists of integers $[e_1,\ldots,e_k]$ such that $1\leq e_i\leq d_i$ for all $1\leq i\leq k$. If $X\subset \mathbb{Z}^2$ is a finite set then an $X$-constructible graph $G$ is a list of non-negative integers $d_1,...,d_k$ together with a list of functions\footnote{The function $f_i$ represents the fact that when constructing the glued graph at stage $i$ we connect the vertices corresponding to $(e_1,\ldots,e_i)$ and $(e_1,\ldots,e_i+1)$ with an edge labelled $f_i(e_1,\ldots,e_i)$.}
\[f_i: d_1\times \cdots \times d_{i-1}\times (d_i-1)\to X\]
for $1\leq i\leq k$. Let $n(G)=d_1\cdots d_k$ and
\[m(G)=\sum_{1\leq i\leq k}\sum_{\mathbf{e}}1_{f_i(\mathbf{e})\neq (0,0)}d_{i+1}\cdots d_k.\]
An $X$-set for $G$ is a pair $(R,T)$ where $T$ is a (possibly empty) list of vertices $\mathbf{e}\in d_1\times \cdots \times d_k$ and $R$ is a list of functions $d_1\times \cdots\times d_k \to X$ such that
\[\#\{ \mathbf{e}\in d_1\times \cdots\times d_k : f(\mathbf{e})\neq (0,0)\}=1\]
for all $f\in R$.

An $X$-set for $G$ is forcing if a finite number of the following operations on $(R,T)$ results in $T=d_1\times \cdots \times d_k$:
\begin{enumerate}
\item If $f_i(a_1,\ldots,a_{i})=x$ and
\[\mathbf{e}_1=(a_1,\ldots,a_{i-1},a_i,c_{i+1},\ldots,c_k)\quad\textrm{and}\quad \mathbf{e}_2=(a_1,\ldots,a_{i-1},a_i+1,c_{i+1},\ldots,c_k)\]
for some $c_{i+1},\ldots,c_k$ -- that is, $\mathbf{e}_1$ and $\mathbf{e}_2$ have the prefixes $a_1,\ldots,a_i$ and $a_1,\ldots,a_i+1$ respectively and \emph{agree in every coordinate after the $i$th} -- then add the function which takes $\mathbf{e}_1\mapsto x$ and $\mathbf{e}_2\mapsto -x$ and $\mathbf{g}\mapsto (0,0)$ for every $\mathbf{g}\neq \mathbf{e}_1,\mathbf{e}_2$ to $R$.
\item If there exists $a\neq 0$ and $\mathbf{e}$ such that $f(\mathbf{e})=(a,-a)$ and $f(\mathbf{f})=(0,0)$ for every $\mathbf{f}\not\in T\cup \{\mathbf{e}\}$ then add $\mathbf{e}$ to $T$.
\item If $f,g\in R$ then $f-g$ can be added to $R$.
\end{enumerate}

Given an $X$-constructible graph $G$ with a forcing pair $(R,T)$ its score is
\[S(X,G,R,T)=\frac{m(G)+\left\lvert R\right\rvert}{n(G)-\left\lvert T\right\rvert}.\]

\section{Problem}

Find a finite set $X\subset \mathbb{Z}^2$ such that $(0,0)\in X$ and if $(a,b)\in X\backslash \{(0,0)\}$ then $a+b\neq 0$ and an $X$-constructible graph $G$ with a forcing pair $(R,T)$ with score \leq 1.675.

Return this as a multi-line string. In the first line list the score (as a fraction) together with the parameters $m(G),\left\lvert R\right\rvert,n(G),\left\lvert T\right\rvert$. (This is not used by the verifier code, but is helpful for humans.) In the second line list the elements in $X$ as a list of pairs of integers. In the third line list the integers $d_1,\ldots,d_k$. In the fourth line list the functions $f_1,\ldots,f_k$ that make up $G$, each represented as a dictionary from $d_1\times\cdots \times (d_i-1)\to X$. These can be partial functions: omitted entries are assumed to be assigned $(0,0)$. In the fifth line list the elements of $T$. In the sixth line list the elements of $R$, each of which is a dictionary assigning an element of $X$ to some vertex of $G$."
baillie-psw,full_problem,"The Baillie-PSW primality test combines two probable-prime tests and declares an odd
integer n > 1 to be prime when it passes both. No composite integer is known to pass the Baillie-PSW test, and it has been verified that none exists below 2^64; whether any composite passes the
Baillie-PSW test is a long-standing open problem. Such a composite is called a Baillie-PSW
pseudoprime.

The two component tests are defined as follows.

Strong Fermat pseudoprime to base 2.
  Write n = d * 2^s + 1 with d odd. We say n is a strong Fermat
  pseudoprime to base 2 if either
      2^d ≡ 1 (mod n),   or
      2^(d * 2^r) ≡ -1 (mod n)  for some integer r with 0 ≤ r < s.
  (This is the strong, or Miller-Rabin, probable-prime test to base 2. See OEIS A001262.)

Strong Lucas pseudoprime (Selfridge Method A).
  Set P = 1. Let D be the first element of the sequence 5, -7, 9, -11, 13, ... (absolute value
  increasing by 2, sign alternating) such that the Jacobi symbol (D / n) equals -1, and set
  Q = (1 - D) / 4. Define the Lucas sequences U_k and V_k by
      U_0 = 0, U_1 = 1,  U_k = P*U_{k-1} - Q*U_{k-2},
      V_0 = 2, V_1 = P,  V_k = P*V_{k-1} - Q*V_{k-2}.
  Write n + 1 = e * 2^t with e odd. We say n is a strong Lucas pseudoprime if either
      U_e ≡ 0 (mod n),   or
      V_(e * 2^r) ≡ 0 (mod n)  for some integer r with 0 ≤ r < t.
  (See OEIS A217255.)

An odd composite n passes the Baillie-PSW test if it is BOTH a strong Fermat pseudoprime to
base 2 AND a strong Lucas pseudoprime.

Your task: find an odd composite integer n that passes the Baillie-PSW test.

Solution format:
* Write your answer to a JSON file and submit its path.
* The JSON must be an object with these integer keys:
  - ""factor1"", ""factor2"": two integers, each greater than 1. The candidate is their product
    n = factor1 * factor2; these factors certify that n is composite (they need not be prime).
    There is no bound on the size of the factors; arbitrary-precision arithmetic is used.

The verifier forms n = factor1 * factor2 with both factors > 1 (so n is a certified odd
composite), and then runs both component tests on n. Your submission is accepted if and only if
n is a certified odd composite that passes both tests.

Example submission (illustrating the format only — this n does not pass the test):
{
  ""factor1"": 23,
  ""factor2"": 89
}"
chowla-cosine,full_problem,"For a finite set A of positive integers, define the cosine polynomial

    f_A(x) = sum_{a in A} cos(a x).

It is important that A is a set, not a multiset: it contains no element more than once. Because the average of f_A over a full period is 0 while f_A(0) = |A|, the polynomial f_A must dip below 0 somewhere; the question is how negative it is forced to be, on the scale of sqrt(|A|).

The goal is to construct sets A for which f_A stays as close to non-negative as possible. Concretely:

    For every constant c > 0 and every positive integer n, construct a set A of positive integers with |A| >= n such that

        f_A(x) >= -c * sqrt(|A|)   for all real x.

## Your task

Write a Python script defining a function

    solution(c: float, n: int) -> str

that returns such a set A for the given c and n.

## Solution format

* The returned string must list the members of A as plain decimal positive integers separated by whitespace and/or commas, for example: ""1 3 7 12"". Members must be distinct.
* An example showing the required output format is provided in the file ""solution_example.py"".
* A valid set whose members are very large may fail to verify. Keep max(A) well under 10^6 (the usable ceiling is lower for the smaller values of c)."
class-group-rank,full_problem,"Find imaginary quadratic fields K = Q(sqrt(-D)) whose class group Cl(K) has large ℓ-rank.

For a prime ℓ, the ℓ-rank of Cl(K) is the integer r such that the ℓ-torsion subgroup Cl(K)[ℓ] is
isomorphic to (Z/ℓZ)^r. Exhibit fields achieving ℓ-rank at least r for the (ℓ, r) pairs in the
challenge set below. You demonstrate that the ℓ-rank is at least r by giving r independent
class-group elements, each of order exactly ℓ, so that together they generate a subgroup
isomorphic to (Z/ℓZ)^r.

## Challenge set

Each (ℓ, r) pair below is a separate challenge:

    ℓ = 3    r = 9, 10, 11, 12, 13, 14, 15, 16
    ℓ = 5    r = 6, 7, 8, 9, 10, 11, 12
    ℓ = 7    r = 5, 6, 7, 8, 9, 10
    ℓ = 11   r = 4, 5, 6, 7, 8
    ℓ = 13   r = 4, 5, 6, 7, 8

Each challenge you certify earns credit; certifying every pair in the set earns full credit, and
any nonempty subset earns partial credit. Completing more is better.

## Submission

Write your answer to a file, one certificate per line, with fields separated by the pipe
character, and submit the file's path with the submit tool:

    ℓ|r|D|gen_1|gen_2|...|gen_r

- ℓ — the prime. Every generator on the line must have order exactly ℓ in Cl(K).
- r — the number of generators that follow. They must be independent.
- D — a positive integer such that -D is a fundamental discriminant; the field is K = Q(sqrt(-D)).
- gen_i — an element of Cl(K), given as a binary quadratic form of discriminant -D: three
  comma-separated integers ""a,b,c"" meaning a·x² + b·x·y + c·y², with b² - 4·a·c = -D and a > 0
  (the form must be positive definite).

Only lines whose (ℓ, r) is in the challenge set earn credit; you may include others (for example
the one below) but they are ignored.

### Example line

    3|3|4447704|390,-96,2857|921,-786,1375|346,-68,3217

This is ℓ = 3, r = 3, discriminant -4447704, and three independent order-3 forms — a well-formed
example of the format. (3, 3) is below the challenge set, so it verifies without counting."
committee-election,full_problem,"Your task is to construct an approval-based committee election whose core is empty.

**Setting.** There are m candidates, labelled 1, 2, ..., m, and a target committee size k with 1 <= k < m. There are n voters; each voter i submits an approval set A_i, a subset of the candidates. A committee is a set W of exactly k candidates.

**Core.** Given a committee W, say that a non-empty group of voters S together with a proposal T (any subset of the candidates) blocks W if both of the following hold:

  - |T| / k <= |S| / n   (the group is large enough to ""deserve"" a committee of size |T|), and
  - |A_i & T| > |A_i & W|  for every voter i in S   (every member of S strictly prefers T to W, i.e. T contains strictly more of their approved candidates than W does).

A committee W is in the core if no group S and proposal T block it. The core of the election is the set of all committees that are in the core.

It is a well-known open problem whether the core is always non-empty. Your task is to find a counterexample: an election instance (a choice of k, m, and a list of approval sets) whose core is empty — that is, every committee of size k is blocked by some group and proposal.

Write your instance to a JSON file and submit its path. The file must contain a single JSON object with the following fields:

  - ""k"": the committee size (integer, 1 <= k < m).
  - ""m"": the number of candidates (integer). Candidates are labelled 1..m.
  - ""ballots"": a non-empty list of objects, one per distinct approval set, each of the form
        {""approve"": [<approved candidate labels>], ""count"": <number of voters with this approval set>}
    where ""approve"" is a list of distinct integers in 1..m and ""count"" is a positive integer. The number of voters n is the sum of the counts.

For example, an instance with k = 2, m = 4, and three voters approving {1, 2} and five voters approving {3, 4} would be written as:

  {""k"": 2, ""m"": 4, ""ballots"": [{""approve"": [1, 2], ""count"": 3}, {""approve"": [3, 4], ""count"": 5}]}

Your submission is correct if and only if the core of the resulting election is empty."
condorcet-winning-sets,full_problem,"# Condorcet Winning Sets of Size at Least Four

## Setup

An election consists of n voters and m candidates (labelled 1, 2, ..., m). Each
voter submits a strict ranking of all m candidates (a permutation), from most
preferred to least preferred.

Given a committee (a subset S of candidates) and an alternative candidate c not
in S, say that c ""overthrows"" S if at least half of the voters rank c above
every member of S. Formally, c overthrows S when

    #{ voters v : v ranks c higher than every member of S }  >=  n / 2.

A committee S is a *Condorcet winning set* (CWS) if no alternative candidate
overthrows it -- that is, for every c not in S, strictly fewer than half of the
voters prefer c to the whole committee.

(Equivalently: S is a CWS iff for every candidate c not in S, a strict majority
of voters rank at least one member of S above c. This is the definition of
Elkind, Lang & Saffidine, and the ""1/2-undominated"" notion of Charikar et al.,
""Six Candidates Suffice to Win a Voter Majority"".)

Note that any superset of a Condorcet winning set is again a Condorcet winning
set, so the relevant quantity is the size of the *smallest* CWS. The full
candidate set is always a CWS, so a smallest CWS always exists.

## Your task

Construct an election in which **every Condorcet winning set has size at least
four** -- i.e. there is no Condorcet winning set of size 3 (and hence, by upward
closure, none of size 1 or 2 either).

You choose n (the number of voters) and m >= 4 (the number of candidates).

## Submission format

Write your answer to a file as the n-by-m matrix of rankings, in plain text: n
lines, each with m whitespace-separated integers. Each of the n rows is one
voter's ranking -- the m candidate labels (1 .. m) in order from most preferred
to least preferred -- and must be a permutation of 1 .. m. Submit that file's
path using the submit tool.

Example (n = 3 voters, m = 4 candidates):

    3 1 4 2
    1 2 3 4
    4 2 1 3

Here the first voter prefers candidate 3 > 1 > 4 > 2.

The verifier will check every 3-candidate committee and accept your submission
only if each one is overthrown by some alternative (so no size-3 Condorcet
winning set exists)."
conway-99-graph,full_problem,"Your task is to find a specific graph.

A graph on n vertices is called srg(n, k, 1, 2) if:
- every vertex has exactly k neighbors,
- every pair of adjacent vertices has exactly 1 common neighbor, and
- every pair of non-adjacent vertices has exactly 2 common neighbors.

For these parameters, k is forced by n. Counting length-2 paths from a fixed vertex gives k(k - 2) = 2(n - k - 1), hence k = sqrt(2(n-1)), so k is not a free parameter.

Find an srg(99, 14, 1, 2) — a graph on 99 vertices satisfying the conditions above with k = 14.  Whether such a graph exists is an open problem, known as Conway's 99-graph problem.

Write your 99-graph construction to a file named `submission.txt`, as a list of edges, one per line, in the format:

  {u, v}

where u and v are the vertex labels (integers from 1 to 99, inclusive). Treat the graph as undirected. List each unordered edge exactly once, with no self-loops. A valid srg(99, 14, 1, 2) would have 693 edges."
degree-sensitivity-boolean,full_problem,"Construct a multilinear, integer-coefficient function P, on n variables, with 1 < n ≤ 100, with degree deg(P) > 1, that is Boolean on the cube, i.e., P(x) = 0 or 1 for all x in {0,1 }^n, and that has

|P(0, ..., 0) - P(1, 0, ..., 0)| + |P(0, ..., 0) - P(0, 1, 0, ..., 0)| + ... + |P(0, ..., 0) - P(0, ..., 0, 1)| = deg(P)^a

for some a > log(6)/log(3).

Provide your answer as an expression using variables like x1, x2, etc. For operators use +, -, and *. You may also use parentheses. Example: x1 + x2 + x3 - (x1*x2 + x1*x3 + x2*x3) + x1*x2*x3"
diophantine-septuple,full_problem,"A *rational Diophantine m-tuple* is a set of m distinct non-zero rational numbers

    {a_1, ..., a_m}

with the property that a_i * a_j + 1 is the square of a rational number for every pair of distinct indices i != j. Only the off-diagonal products are constrained: a_i^2 + 1 need not be a square.

## Task

Find a rational Diophantine 7-tuple: that is, 7 distinct non-zero rational numbers a_1, ..., a_7 such that a_i * a_j + 1 is the square of a rational number for every pair of distinct indices i != j.

## Submission

Write your 7 rationals to a file as a list of strings. Each entry should be an integer ""p"" or a fraction ""p/q"" (no decimal points or exponents). Submit the path to that file using the submit tool. The file should contain exactly that list and nothing else, for example:

    [""1"", ""3"", ""8"", ""120"", ""-5/2"", ""7/3"", ""11""]

No bound is placed on the size of the numerators and denominators; because the values travel in a file rather than on a command line, an entry may have as many digits as it needs."
